week,cluster,count,share_pct,median_reviews,over_1k_reviews,median_price_usd,releases_this_week
2026-W33,Romance / dating sim,41,19.8,3107,21,19.99,8
2026-W33,Horror / psychological,52,25.1,5331,28,19.99,12
2026-W33,Point & click / puzzle,35,16.9,9139,20,19.99,6
2026-W33,Mystery / detective,42,20.3,3184,23,19.99,10
2026-W33,Choice-driven branching,70,33.8,4631,40,19.99,10
2026-W33,Slice of life / cozy,46,22.2,1955,18,15.99,9
2026-W33,RPG hybrid,43,20.8,3071,19,19.99,9
2026-W33,Sim / management hybrid,37,17.9,3721,14,18.0,10
2026-W33,LGBTQ+ / queer narrative,27,13.0,2311,10,19.99,2
2026-W33,Sci-fi / cyberpunk,24,11.6,1474,9,24.99,8
2026-W33,Interactive fiction / text,41,19.8,1667,19,15.99,9
2026-W33,Adult (explicit),31,15.0,5466,18,19.99,4
